AcctFundCode,AcctFundDescr,AcctResourceCode,AcctResourceDescr,AcctLocationCode,AcctLocationDescr,AcctObjectCode,AcctObjectDescr,AcctFunctionCode,AcctFunctionDescr,Budget,Spent,Encumbered,Balance
10,General Fund,0,General Purpose-unrestricted,101,Allendale,1105,Teachers Salaries,1000,Instruction,867850.54,850665.12,0,17185.42
10,General Fund,0,General Purpose-unrestricted,101,Allendale,1150,Teachers Substitutes,1000,Instruction,23997.95,35137.52,0,-11139.57
10,General Fund,0,General Purpose-unrestricted,101,Allendale,1305,"Supv, Admin, Instr Coaches Sal",2710,"Sch Admin,principals",114311.52,114311.52,0,0
10,General Fund,0,General Purpose-unrestricted,101,Allendale,2205,Classsuppt Salaries,2490,Other Instructional Resources,16105.44,16396.11,0,-290.67
10,General Fund,0,General Purpose-unrestricted,101,Allendale,2405,Clerical Salaries,2700,Schl Administration,41597.85,42321.16,0,-723.31
10,General Fund,0,General Purpose-unrestricted,101,Allendale,2905,Otherclass Salaries,1000,Instruction,8106.8,8222.39,0,-115.59
10,General Fund,0,General Purpose-unrestricted,101,Allendale,3101,STRS Certificated,1000,Instruction,141817.38,139216.55,0,2600.83
10,General Fund,0,General Purpose-unrestricted,101,Allendale,3101,STRS Certificated,2710,"Sch Admin,principals",18610,18609.96,0,0.04
10,General Fund,0,General Purpose-unrestricted,101,Allendale,3201,PERS Certificated,1000,Instruction,139.77,148.77,0,-9
10,General Fund,0,General Purpose-unrestricted,101,Allendale,3202,PERS Classified,1000,Instruction,0,26.11,0,-26.11
10,General Fund,0,General Purpose-unrestricted,101,Allendale,3202,PERS Classified,2490,Other Instructional Resources,2908.97,2961.47,0,-52.5
10,General Fund,0,General Purpose-unrestricted,101,Allendale,3202,PERS Classified,2700,Schl Administration,7513.45,7644.09,0,-130.64
10,General Fund,0,General Purpose-unrestricted,101,Allendale,3301,Social Security Certificated,1000,Instruction,475.7,904.87,0,-429.17
10,General Fund,0,General Purpose-unrestricted,101,Allendale,3302,Social Security Classified,1000,Instruction,337.16,344.33,0,-7.17
10,General Fund,0,General Purpose-unrestricted,101,Allendale,3302,Social Security Classified,2490,Other Instructional Resources,998.49,1016.51,0,-18.02
10,General Fund,0,General Purpose-unrestricted,101,Allendale,3302,Social Security Classified,2700,Schl Administration,2579.05,2623.9,0,-44.85
10,General Fund,0,General Purpose-unrestricted,101,Allendale,3321,Medicare Certificated,1000,Instruction,12918.56,12830.15,0,88.41
10,General Fund,0,General Purpose-unrestricted,101,Allendale,3321,Medicare Certificated,2710,"Sch Admin,principals",1657.56,1657.56,0,0
10,General Fund,0,General Purpose-unrestricted,101,Allendale,3322,Medicare Classified,1000,Instruction,117.62,119.3,0,-1.68
10,General Fund,0,General Purpose-unrestricted,101,Allendale,3322,Medicare Classified,2490,Other Instructional Resources,233.52,237.73,0,-4.21
10,General Fund,0,General Purpose-unrestricted,101,Allendale,3322,Medicare Classified,2700,Schl Administration,603.19,613.68,0,-10.49
10,General Fund,0,General Purpose-unrestricted,101,Allendale,3341,PARS Certificated,1000,Instruction,368.47,575.16,0,-206.69
